32,128,1.61006784439,
32,256,4.47157692909,
32,512,9.0681848526,
32,1024,15.3477928638,
32,2048,31.5419778824,
32,4096,59.7996330261,
128,128,3.6589589119,
128,256,5.86842799187,
128,512,10.7356669903,
128,1024,20.9195780754,
128,2048,39.5705811977,
128,4096,80.2762918472,
512,128,5.42550516129,
512,256,10.0631649494,
512,512,19.7560751438,
512,1024,40.0164220333,
512,2048,77.576406002,
512,4096,152.470668077,
1024,128,8.83594608307,
1024,256,16.1863970757,
1024,512,31.4760019779,
1024,1024,62.0536499023,
1024,2048,126.724470854,
1024,4096,420.315120935,
2048,128,18.4550199509,
