32,128,1.49809098244,
32,256,7.94224309921,
32,512,8.4199590683,
32,1024,14.4595530033,
32,2048,28.8792088032,
32,4096,46.051623106,
128,128,8.64096903801,
128,256,11.2707509995,
128,512,18.0583291054,
128,1024,35.8619630337,
128,2048,66.4918181896,
128,4096,120.455554962,
512,128,11.629598856,
512,256,15.6265621185,
512,512,32.6936309338,
512,1024,65.9740130901,
512,2048,136.97715807,
512,4096,279.319751024,
1024,128,15.7847912312,
1024,256,30.1723690033,
1024,512,61.2986690998,
1024,1024,125.462569952,
1024,2048,250.895056009,
1024,4096,503.92829299,
